"filename", "language", "JavaScript", "Markdown", "HTML", "CSS", "compressionTargetFile", "Java", "comment", "blank", "total"
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/ActionListener.java", "Java", 0, 0, 0, 0, 0, 2, 0, 3, 5
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/Snakes_and_ladders.class", "Java", 0, 0, 0, 0, 0, 34, 0, 0, 34
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/Snakes_and_ladders.html", "HTML", 0, 0, 554, 0, 0, 0, 9, 1, 564
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/Snakes_and_ladders.java", "Java", 0, 0, 0, 0, 0, 199, 218, 53, 470
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/allclasses-index 2.html", "HTML", 0, 0, 79, 0, 0, 0, 3, 1, 83
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/allclasses-index 3.html", "HTML", 0, 0, 79, 0, 0, 0, 3, 1, 83
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/allclasses-index.html", "HTML", 0, 0, 79, 0, 0, 0, 3, 1, 83
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/allpackages-index.html", "HTML", 0, 0, 61, 0, 0, 0, 3, 1, 65
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/copy.svg", "compressionTargetFile", 0, 0, 0, 0, 11, 0, 0, 23, 34
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/driver.html", "HTML", 0, 0, 197, 0, 0, 0, 9, 1, 207
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/driver.java", "Java", 0, 0, 0, 0, 0, 55, 42, 21, 118
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/gamepage.html", "HTML", 0, 0, 191, 0, 0, 0, 9, 1, 201
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/gamepage.java", "Java", 0, 0, 0, 0, 0, 151, 112, 62, 325
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/help-doc.html", "HTML", 0, 0, 181, 0, 0, 0, 3, 1, 185
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/images/board.png", "compressionTargetFile", 0, 0, 0, 0, 1720, 0, 0, 16, 1736
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/index-files/index-1.html", "HTML", 0, 0, 68, 0, 0, 0, 3, 1, 72
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/index-files/index-2.html", "HTML", 0, 0, 64, 0, 0, 0, 3, 1, 68
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/index-files/index-3.html", "HTML", 0, 0, 62, 0, 0, 0, 3, 1, 66
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/index-files/index-4.html", "HTML", 0, 0, 62, 0, 0, 0, 3, 1, 66
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/index-files/index-5.html", "HTML", 0, 0, 110, 0, 0, 0, 3, 1, 114
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/index-files/index-6.html", "HTML", 0, 0, 62, 0, 0, 0, 3, 1, 66
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/index-files/index-7.html", "HTML", 0, 0, 62, 0, 0, 0, 3, 1, 66
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/index-files/index-8.html", "HTML", 0, 0, 112, 0, 0, 0, 3, 1, 116
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/index-files/index-9.html", "HTML", 0, 0, 60, 0, 0, 0, 3, 1, 64
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/index.html", "HTML", 0, 0, 25, 0, 0, 0, 1, 1, 27
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/jquery-ui.overrides.css", "CSS", 0, 0, 0, 8, 0, 0, 6, 2, 16
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/legal/jquery.md", "Markdown", 0, 54, 0, 0, 0, 0, 0, 19, 73
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/legal/jqueryUI.md", "Markdown", 0, 36, 0, 0, 0, 0, 0, 14, 50
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/member-search-index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/module-search-index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/overview-tree.html", "HTML", 0, 0, 70, 0, 0, 0, 3, 1, 74
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/package-search-index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/package-summary.html", "HTML", 0, 0, 104, 0, 0, 0, 3, 1, 108
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/package-tree.html", "HTML", 0, 0, 70, 0, 0, 0, 3, 1, 74
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/package-use.html", "HTML", 0, 0, 71, 0, 0, 0, 3, 1, 75
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/resources/glass.png", "compressionTargetFile", 0, 0, 0, 0, 8, 0, 0, 0, 8
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/resources/x.png", "compressionTargetFile", 0, 0, 0, 0, 5, 0, 0, 0, 5
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/script-dir/images/ui-bg_glass_55_fbf9ee_1x400.png", "compressionTargetFile", 0, 0, 0, 0, 6, 0, 0, 0, 6
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/script-dir/images/ui-bg_glass_65_dadada_1x400.png", "compressionTargetFile", 0, 0, 0, 0, 4, 0, 0, 0, 4
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/script-dir/images/ui-bg_glass_75_dadada_1x400.png", "compressionTargetFile", 0, 0, 0, 0, 4, 0, 0, 0, 4
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/script-dir/images/ui-bg_glass_75_e6e6e6_1x400.png", "compressionTargetFile", 0, 0, 0, 0, 4, 0, 0, 0, 4
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/script-dir/images/ui-bg_glass_95_fef1ec_1x400.png", "compressionTargetFile", 0, 0, 0, 0, 7, 0, 0, 0, 7
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/script-dir/images/ui-bg_highlight-soft_75_cccccc_1x100.png", "compressionTargetFile", 0, 0, 0, 0, 5, 0, 0, 0, 5
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/script-dir/images/ui-icons_222222_256x240.png", "compressionTargetFile", 0, 0, 0, 0, 78, 0, 0, 0, 78
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/script-dir/images/ui-icons_2e83ff_256x240.png", "compressionTargetFile", 0, 0, 0, 0, 36, 0, 0, 0, 36
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/script-dir/images/ui-icons_454545_256x240.png", "compressionTargetFile", 0, 0, 0, 0, 70, 0, 0, 0, 70
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/script-dir/images/ui-icons_888888_256x240.png", "compressionTargetFile", 0, 0, 0, 0, 74, 0, 0, 0, 74
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/script-dir/images/ui-icons_cd0a0a_256x240.png", "compressionTargetFile", 0, 0, 0, 0, 126, 0, 0, 90, 216
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/script-dir/jquery-3.5.1.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/script-dir/jquery-ui.min.css", "CSS", 0, 0, 0, 1, 0, 0, 5, 1, 7
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/script-dir/jquery-ui.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 4, 1, 6
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/script-dir/jquery-ui.structure.min.css", "CSS", 0, 0, 0, 1, 0, 0, 3, 1, 5
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/script.js", "JavaScript", 115, 0, 0, 0, 0, 0, 15, 11, 141
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/search.js", "JavaScript", 337, 0, 0, 0, 0, 0, 29, 6, 372
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/startingpage.html", "HTML", 0, 0, 193, 0, 0, 0, 9, 1, 203
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/startingpage.java", "Java", 0, 0, 0, 0, 0, 63, 49, 27, 139
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/stylesheet.css", "CSS", 0, 0, 0, 931, 0, 0, 74, 8, 1013
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/tag-search-index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/omarelmasaoudi/Desktop/Snakes and ladders game/type-search-index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 459, 90, 2616, 941, 2158, 504, 649, 382, 7799
